ident,type,name,municipality,iata_code
MHGC,small_airport,Grupo Carnol Airport,Catacamas,
MHGE,small_airport,El Aguacate Airport,El Aguacate,
MHGG,small_airport,Santiago De Puringla Airport,Santiago de Puringla,
MHGR,small_airport,Sangrelaya Airport,Donel,
MHGS,small_airport,Celaque Airport,Gracias,GAC
MHGY,small_airport,Guayape Airport,El Zapato,
MHHE,small_airport,La Herradura Airport,Punuare,
MHHG,small_airport,Hacienda Galeras Airport,La Lima,
MHHO,small_airport,Agua Caliente Airport,Horcones,
MHIC,small_airport,Islas Del Cisne Airport,Del Cisne Island,
MHIN,small_airport,Minas De Oro Airport,Minas de Oro,
MHIR,small_airport,Iriona Airport,Iriona,IRN
MHIZ,small_airport,Izapan Airport,La Puerta,
MHJC,small_airport,Jocon Airport,JocÃ³n,
MHJE,small_airport,Nueva Jerusalen Airport,Rio PlÃ¡tano,
MHJI,small_airport,Jicalapa Airport,Jicalapa,GUO
MHJO,small_airport,La Joya Airport,,
MHJQ,small_airport,Joya Del Quebracho Airport,Caleras/El Triunfo,
MHJU,small_airport,Jutigalpa airport,Jutigalpa,JUT
MHLA,small_airport,La Alondra Airport,Candelaria,
MHLC,medium_airport,Goloson International Airport,La Ceiba,LCE
MHLE,small_airport,La Esperanza Airport,La Esperanza,LEZ
MHLF,small_airport,Flefil Airport,,
MHLG,small_airport,La Grecia Airport,MonjarÃ¡s,
MHLI,small_airport,Talanguita Airport,,
MHLJ,small_airport,Las Lajas Airport,Coyoles,
MHLM,medium_airport,RamÃ³n Villeda Morales International Airport,San Pedro Sula,SAP
MHLP,small_airport,Mapulaca Airport,Mapulaca,
MHLS,small_airport,Laguna Seca Airport,Laguna Seca,
MHLT,small_airport,Llanos Del Tigre Airport,Moroceli,
MHLU,small_airport,Luz Y Vida Airport,San Luis PajÃ³n,
MHLV,small_airport,Las Vegas Airport,Las Vegas,
MHLZ,small_airport,La Estanzuela Airport,el agua,
MHMI,small_airport,Las Minitas Airport,Vallecillo,
MHML,small_airport,Monte Libano Airport,Monte LÃ­bano,
MHMM,small_airport,San Antonio Malera Airport,Malera,
MHMN,small_airport,Monica Airport,Monica,
MHMO,small_airport,San Marcos De Ocotepeque Airport,San Marcos,
MHMP,small_airport,Marcos Perez Airport,Agua Blanca,
MHMS,small_airport,Las Marias Airport,Siksatara,
MHMT,small_airport,Manto Airport,Manto,
MHN,small_airport,Hooker County Airport,Mullen,MHN
MHNA,small_airport,Ciudad Nacaome Airport,Nacaome,
MHNB,small_airport,Noveno BatallÃ³n Airport,Apala,
MHNC,small_airport,Choluteca Airport,Choluteca,
MHNJ,medium_airport,La Laguna Airport,Guanaja,GJA
MHNS,small_airport,Los Llanos Airport,,
MHNV,small_airport,Nueva Ocotepeque Airport,Nueva Ocotepeque,
MHOT,small_airport,Ocotales Airport,CopÃ³n,
MHPA,small_airport,Barra Del Patuca Airport,Barra del Patuca,
MHPC,small_airport,Palacios Airport,Palacios,PCH
MHPI,small_airport,Agropecuaria Piedra De Agua Azul Airport,Buena Vista,
MHPL,small_airport,Puerto Lempira Airport,Puerto Lempira,PEU
MHPS,small_airport,Desvio Potrerillos Airport,El Encinal,
MHPV,small_airport,El Porvenir Airport,Manga,
MHPY,small_airport,Payasito Airport,Farallones,
MHRA,small_airport,Rapaco II Airport,,
MHRD,small_airport,Rus Rus II Airport,Rus Rus,
MHRH,small_airport,Regional Hamer Airport,,
MHRJ,small_airport,Rancho Jamastran Airport,Apala,
MHRO,medium_airport,Juan Manuel Galvez International Airport,Roatan Island,RTB
MHRR,small_airport,Rus Rus I Airport,Rus Rus,
MHRU,small_airport,CopÃ¡n Ruinas Airport,CopÃ¡n Ruinas,RUY
MHRY,small_airport,Raya Airport,Raya,
MHSC,medium_airport,Coronel Enrique Soto Cano Air Base,Comayagua,XPL
MHSI,small_airport,Sico Airport,Sico,
MHSJ,small_airport,San Jose Airport,Oropoli,
MHSL,small_airport,San Lorenzo Airport,El Hato,
MHSN,small_airport,Sinaloa Airport,Sinaloa,
MHSX,small_airport,Sixatigni Airport,,
MHSZ,small_airport,Santa Barbara Airport,Choluteca,
MHTA,small_airport,Tamara Airport,Tamara,
MHTB,small_airport,La Katabila Airport,Tuntuntara,
MHTE,medium_airport,Tela Airport,Tela,TEA
MHTG,medium_airport,ToncontÃ­n International Airport,Tegucigalpa,TGU
MHTI,small_airport,Tipimuratara Airport,Tipimunatara,
MHTJ,medium_airport,Trujillo Airport,Trujillo,TJI
MHTM,small_airport,Santa Maria Airport,Santa MarÃ­a,
MHTO,small_airport,Tocoa Airport,Tocoa,
MHUC,small_airport,Auca Airport,Auca,
MHUG,small_airport,Guanacastal Airport,Canchias,
MHUH,small_airport,Uhi Airport,Uhi,
MHUL,small_airport,Sulaco Airport,Sulaco,SCD
MHUO,small_airport,La Union Airport,La UniÃ³n,
MHUT,small_airport,Utila Airport,Utila Island,UII
MHUY,small_airport,Cucuyagua Airport,Cucuyagua,
MHVE,small_airport,Villa Hermosa Airport,Coyolillo,
MHVG,small_airport,Villa Guadalupe Airport,Villa Guadalupe,
MHWA,small_airport,Wampusirpi I Airport,Wampusirpi,
MHWD,small_airport,Wampusirpi II Airport,Wampusirpi,
MHWP,small_airport,Waplaya Airport,Waplaya,
MHWR,small_airport,Warunta Airport,Warunta,
MHWS,small_airport,Wasma Airport,Wasma,
MHWW,small_airport,Wawina Airport,Wawina,
MHY,small_airport,Morehead Airport,Morehead,MHY
MHYR,small_airport,Yoro Airport,Yoro,ORO
MHYX,small_airport,Yaxu Airport,Puerto Lempira,
MHZA,small_airport,Azacualpa Airport,Azacualpa,
MI00,small_airport,Van Effen Field,Rock,
MI01,small_airport,Fasel Field,Avoca,
MI04,small_airport,Airborn Paraflite Ultralightport,Ithaca,
MI05,small_airport,Crompton's Private Strip,Clio,
MI09,small_airport,Milan Airport,Milan,
MI10,small_airport,Hoerners Corners Airport,De Witt,
MI11,small_airport,Crippen Field,Charlotte,
MI13,small_airport,Minikey Airport,Sheridan,
MI15,small_airport,Wards Long Acres Airport,Fair Haven,
MI18,small_airport,Cedarville Airport,Flushing,
MI19,small_airport,Thorn Airport,Custer,
MI22,small_airport,Crump Airport,Niles,
MI23,small_airport,Mckimmy Field,Bridgeport,
MI24,small_airport,Deer Lake Airpark,East Jordan,
MI25,small_airport,Myers Airport,Bridgman,
MI27,small_airport,Haigh Airport,Howell,
MI29,small_airport,Gooding Airport,Whitmore Lake,
MI31,small_airport,Cornish Field,Lawton,
MI35,small_airport,Claucherty Airport,Litchfield,
MI37,small_airport,Wenning Landing Area Airport,Marine City,
MI38,small_airport,Eichmeier Field,Mason,
MI41,small_airport,Crystal Airport,St. Clair,
MI43,small_airport,Pewanogowink-Banks Airport,Montrose,
MI44,small_airport,D J Airport,Mount Pleasant,
MI45,small_airport,Ed Schulte's Place STOLport,Ortonville,
MI48,small_airport,Ham-A-Lot Field,Petersburg,
MI50,small_airport,Dodge Airport,Romeo,
MI52,small_airport,Markham Airport,Clinton,
MI53,small_airport,Mills Field,Newport,
MI56,small_airport,Boulder Canyon Airport,Belding,
MI60,small_airport,Tannehill Airfield,Fife Lake,
MI67,small_airport,Tyrone Airport,Bailey,
MI68,small_airport,Baroda Airport,Baroda,
MI70,small_airport,Carl's Airport,Macon,
MI71,small_airport,Silver Lake Airport,Mears,
MI72,small_airport,Nelson Airport,Buchanan,
MI76,small_airport,Reading Airport,Fennville,
MI77,small_airport,Shafter Airport,Galesburg,
MI78,small_airport,Weller Airport,Grandville,
MI80,small_airport,Wabasis Lake Airport,Greenville,
MI82,small_airport,Harry's Field,Hudsonville,
MI84,small_airport,Kerby Field,Mattawan,
MI86,small_airport,Midget Airport,North Muskegon,
MI88,small_airport,Bakers Field,Burnips,
MI89,small_airport,Perry Airport,Schoolcraft,
MI92,small_airport,Lilienthal Airport,Iron Mountain,
MI93,small_airport,Circle T Ranch Airport,Curran,
MI95,small_airport,Taylors Flight Park Airport,Cassopolis,
MI99,small_airport,Robertson Field,Richmond,
MIZ,small_airport,Mainoru Airstrip,Mainoru,MIZ
MJJ,small_airport,Moki Airport,Moki,MJJ
MJS,small_airport,Maganja da Costa Airport,Maganja,MJS
MK-0001,small_airport,Gradsko Airfield,Gradsko,
MK-0002,small_airport,Suchevo Recreational Airfield,Å tip,
MKBS,medium_airport,Boscobel Aerodrome,Ocho Rios,OCJ
MKJP,large_airport,Norman Manley International Airport,Kingston,KIN
MKJS,medium_airport,Sangster International Airport,Montego Bay,MBJ
MKKJ,medium_airport,Ken Jones Airport,Ken Jones,POT
MKN,small_airport,Malekolon Airport,Babase Island,MKN
MKNG,small_airport,Negril Airport,Negril,NEG
MKTP,medium_airport,Tinson Pen Airport,Tinson Pen,KTP
ML-0001,small_airport,Manantali Bengassi Airport,Manantali,
MLIP,small_airport,Mili Island Airport,Mili Island,MIJ
MLLJ,small_airport,La Javilla Airport,Guanacaste,
MLQ,small_airport,Malalaua Airport,Malalaua,MLQ
MM-0001,small_airport,Bago Airport,Pegu,
MM-0002,small_airport,Hinthada Airport,Hinthada,HEB
MM-0003,small_airport,Langkho Airport,Langhko,
MM-0004,small_airport,Myoungmya Airport,Myoungmya,
MM-0005,small_airport,Shinbweyang Airport,Shinbweyang,
MM10,small_airport,Isla Cedros Airport,Isla de Cedros,
MM11,small_airport,El DurangueÃ±o Airport,Canatlan,
MM12,small_airport,Bacubirito Airport,Sinaloa De Leyva,
MM13,small_airport,Camargo Airport,Santa Rosalia de Camargo,
MM16,small_airport,General JesÃºs AgustÃ­n Castro Airport,Ciudad Lerdo,
MM17,small_airport,La Trinidad Airport,Padilla,
MM20,small_airport,Ingeniero Juan Antonio Perdomo Diaz Airport,Cordoba,
MM22,small_airport,La Pesca Airport,Soto La Marina,
MM23,small_airport,Rancho Santa Ynes Airport,,
MM25,small_airport,CapitÃ¡n Piloto Aviador JosÃ© Covarrubias PÃ©rez Airport,Ciudad Guzman,
MM28,small_airport,Tizayuca Airport,Tizayuca,
MM29,small_airport,Ta Lo De Soto Airport,Cuajinicuilapa,
MM30,small_airport,El Tapacal Airport,Navolato,
MM31,small_airport,Fausto Vega Santander Airport,,
MM32,small_airport,Puerto Libertad North Airport,,
MM35,small_airport,Santa BÃ¡rbara Regional Airport,Pungarabato,
MM36,small_airport,Rancho San Salvador Northeast Airport,,
MM37,small_airport,Casa Madero Airport,,
MM38,small_airport,Falcon Dam Airport,,
MM39,small_airport,Guamuchil Airport,Salvador Alvarado,
MM41,small_airport,Leon Gonzales Pie de la Cuesta Airport,,
MM42,small_airport,Muzquiz New Airport,Muzquiz,
MM44,small_airport,Agualeguas Old Airport,,
MM47,small_airport,Jaujilla - Zacapu Municipal Airport,Zacapu,
MM48,small_airport,Ciudad Pemex Airport,,
MM50,small_airport,CosalÃ¡ Airport,CosalÃ¡,
MM51,small_airport,Rancho Guadalupe South Airport,,
MM52,small_airport,Camaguey-Campo Cuatro Milpas Airport,Guasave,
MM53,small_airport,Nuevo Dolores Airport,,
MM54,small_airport,Rancho Marina Vieja Airport,Soto La Marina,
MM56,small_airport,Xicotencatl Airport,Xicotencatl,
MM61,small_airport,Ixmiquilpan Airport,,
MM62,small_airport,Zacacoyuca Airport,Iguala de la Independencia,
MM63,small_airport,AutlÃ¡n Airport,AutlÃ¡n de Navarro,
MM64,small_airport,Constitucionalista Airport,Cuatro Cienegas de Carranza,
MM65,small_airport,Agua Prieta South Airport,,
MM66,small_airport,Coahuayana Airport,,
MM67,small_airport,Ingeniero Manuel Moreno Torres  Airport,Matehuala,
MM68,small_airport,Mina Hercules Airport,Sierra Mojada,
MM69,small_airport,Tacicuri-Magdalena de Kino Airport,Magadalena de Kino,
MM72,small_airport,Cupul Airport,Tizimin,TZM
MM73,small_airport,Huetamo Airport,Huetamo,
MM74,small_airport,Old Chichen ItzÃ¡ Airport,Tinum,
MM75,small_airport,Agua Prieta Southwest Airport,,
MM77,small_airport,Las Delicias Airport,,
MM79,small_airport,El Fuerte Airport,,
MM80,small_airport,Rancho La Milpita Airport,Nacozari,
MM81,small_airport,Isla Socorro Airport,,
MM82,small_airport,Laguna Del Rey Airport,,
MM84,small_airport,Parral Airport,Hidalgo Del Parral,
MMAA,large_airport,General Juan N Alvarez International Airport,Acapulco,ACA
MMAL,small_airport,Agualeguas Airport,,
MMAN,medium_airport,Del Norte International Airport,,NTR
MMAS,medium_airport,JesÃºs TerÃ¡n Paredo International Airport,Aguascalientes,AGU
MMBT,medium_airport,BahÃ­as de Huatulco International Airport,Huatulco,HUX
MMCA,small_airport,Cananea National Airport,Cananea,CNA
MMCB,medium_airport,General Mariano Matamoros Airport,,CVJ
MMCC,small_airport,Ciudad AcuÃ±a New International Airport,Ciudad AcuÃ±a,ACN
MMCE,medium_airport,Ciudad del Carmen International Airport,Ciudad del Carmen,CME
MMCG,small_airport,Nuevo Casas Grandes Airport,,NCG
MMCH,small_airport,Chilpancingo Airport,Chilpancingo,
MMCL,medium_airport,Bachigualato Federal International Airport,CuliacÃ¡n,CUL
MMCM,medium_airport,Chetumal International Airport,Chetumal,CTM
MMCN,medium_airport,Ciudad ObregÃ³n International Airport,Ciudad ObregÃ³n,CEN
MMCO,small_airport,San Antonio Copalar Airport,ComitÃ¡n,CJT
MMCP,medium_airport,Ingeniero Alberto AcuÃ±a Ongay International Airport,Campeche,CPE
MMCS,medium_airport,Abraham GonzÃ¡lez International Airport,Ciudad JuÃ¡rez,CJS
MMCT,medium_airport,Chichen Itza International Airport,Chichen Itza,CZA
MMCU,medium_airport,General Roberto Fierro Villalobos International Airport,Chihuahua,CUU
MMCV,medium_airport,General Pedro Jose Mendez International Airport,Ciudad Victoria,CVM
MMCY,medium_airport,Captain Rogelio Castillo National Airport,Celaya,CYW
MMCZ,medium_airport,Cozumel International Airport,Cozumel,CZM
MMDA,medium_airport,Ciudad ConstituciÃ³n Airport,Ciudad ConstituciÃ³n,CUA
MMDM,small_airport,Ciudad Mante National Airport,Ciudad Mante,MMC
MMDO,medium_airport,General Guadalupe Victoria International Airport,Durango,DGO
MMEP,medium_airport,Amado Nervo National Airport,Tepic,TPQ
MMES,small_airport,Ensenada International Airport / El Cipres Air Base,Ensenada,ESE
MMGD,small_airport,Airport Isla Guadalupe,,
MMGL,large_airport,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,GDL
MMGM,medium_airport,General JosÃ© MarÃ­a YÃ¡Ã±ez International Airport,Guaymas,GYM
MMGR,small_airport,Guerrero Negro Airport,Guerrero Negro,GUB
MMGT,small_airport,Rancho Medio Sitio Airport,Silao,
MMHC,small_airport,Tehuacan Airport,,TCN
MMHO,large_airport,General Ignacio P. Garcia International Airport,Hermosillo,HMO
MMIA,medium_airport,Licenciado Miguel de la Madrid Airport,Colima,CLQ
MMIM,small_airport,Isla Mujeres Airport,,ISJ
MMIO,medium_airport,Plan De Guadalupe International Airport,Saltillo,SLW
MMIT,medium_airport,Ixtepec Airport,Ixtepec,IZT
MMJA,medium_airport,El Lencero Airport,Xalapa,JAL
MMJC,small_airport,Atizapan De Zaragoza Airport,,AZP
MMLC,medium_airport,LÃ¡zaro CÃ¡rdenas Airport,LÃ¡zaro CÃ¡rdenas,LZC
MMLM,medium_airport,Valle del Fuerte International Airport,Los Mochis,LMM
MMLO,medium_airport,Del BajÃ­o International Airport,Silao,BJX
MMLP,medium_airport,Manuel MÃ¡rquez de LeÃ³n International Airport,La Paz,LAP
MMLT,medium_airport,Loreto International Airport,Loreto,LTO
MMMA,medium_airport,General Servando Canales International Airport,Matamoros,MAM
MMMD,medium_airport,Licenciado Manuel Crescencio Rejon Int Airport,MÃ©rida,MID
MMMG,small_airport,Mulege Airport,Mulege,MUG
MMML,medium_airport,General Rodolfo SÃ¡nchez Taboada International Airport,Mexicali,MXL
MMMM,medium_airport,General Francisco J. Mujica International Airport,Morelia,MLM
MMMT,medium_airport,MinatitlÃ¡n/Coatzacoalcos National Airport,MinatitlÃ¡n,MTT
MMMV,medium_airport,Monclova International Airport,,LOV
MMMX,large_airport,Licenciado Benito Juarez International Airport,Mexico City,MEX
MMMY,large_airport,General Mariano Escobedo International Airport,Monterrey,MTY
MMMZ,medium_airport,General Rafael Buelna International Airport,MazatlÃ¡n,MZT
MMNG,small_airport,Nogales International Airport,,NOG
MMNL,medium_airport,QuetzalcÃ³atl International Airport,Nuevo Laredo,NLD
MMOX,medium_airport,XoxocotlÃ¡n International Airport,Oaxaca,OAX
MMPA,medium_airport,El TajÃ­n National Airport,Poza Rica,PAZ
MMPB,medium_airport,Hermanos SerdÃ¡n International Airport,Puebla,PBC
MMPC,small_airport,Ingeniero Juan Guillermo Villasana Airport,Pachuca,
MMPG,medium_airport,Piedras Negras International Airport,,PDS
MMPL,small_airport,Punta Colorada Airport,La Ribera,PCO
MMPN,medium_airport,Licenciado y General Ignacio Lopez Rayon Airport,,UPN
MMPP,small_airport,Punta Pescadero Airport,La Paz,
MMPQ,small_airport,Palenque International Airport,,PQM
MMPR,large_airport,Licenciado Gustavo DÃ­az Ordaz International Airport,Puerto Vallarta,PVR
MMPS,medium_airport,Puerto Escondido International Airport,Puerto Escondido,PXM
MMQT,medium_airport,QuerÃ©taro Intercontinental Airport,QuerÃ©taro,QRO
MMRX,medium_airport,General Lucio Blanco International Airport,Reynosa,REX
MMSD,large_airport,Los Cabos International Airport,San JosÃ© del Cabo,SJD
MMSF,small_airport,San Felipe International Airport,Mexicali,SFH
MMSG,small_airport,Air Base No. 11 Santa Gertrudis,Saucillo,
MMSL,medium_airport,Cabo San Lucas International Airport,Cabo San Lucas,
MMSM,small_airport,Santa Lucia Air Force Base,Reyes Acozac,NLU
MMSP,medium_airport,Ponciano Arriaga International Airport,San Luis PotosÃ­,SLP
MMTA,small_airport,Tlaxcala Airport,,
MMTB,medium_airport,TerÃ¡n Air Base,Tuxtla GutiÃ©rrez,
MMTC,medium_airport,Francisco Sarabia International Airport,TorreÃ³n,TRC
MMTG,medium_airport,Angel Albino Corzo International Airport,Tuxtla GutiÃ©rrez,TGZ
MMTJ,large_airport,General Abelardo L. RodrÃ­guez International Airport,Tijuana,TIJ
MMTM,medium_airport,General Francisco Javier Mina International Airport,Tampico,TAM
MMTN,small_airport,Tamuin Airport,,TSL
MMTO,medium_airport,Licenciado Adolfo Lopez Mateos International Airport,Toluca,TLC
MMTP,medium_airport,Tapachula International Airport,Tapachula,TAP
MMTX,small_airport,Zapotiltic - Tuxpan Airport,Zapotiltic,
MMUN,large_airport,CancÃºn International Airport,CancÃºn,CUN
MMV,small_airport,Mal Airport,Mal Island,MMV
MMVA,medium_airport,Carlos Rovirosa PÃ©rez International Airport,Villahermosa,VSA
MMVR,medium_airport,General Heriberto Jara International Airport,Veracruz,VER
MMZC,medium_airport,General Leobardo C. Ruiz International Airport,Zacatecas,ZCL
MMZH,medium_airport,Ixtapa Zihuatanejo International Airport,Ixtapa,ZIH
MMZM,small_airport,Zamora Airport,,ZMM
MMZO,medium_airport,Playa De Oro International Airport,Manzanillo,ZLO
MMZP,small_airport,Zapopan Airport,,
MN-MXW,small_airport,Mandalgobi Airport,Mandalgobi,MXW
MN-ULZ,small_airport,Jibhalanta Airport,Uliastai,
MN00,small_airport,Webb Lake Airport,Hackensack,
MN01,small_airport,Hammars Farm Airport,Ada,
MN04,small_airport,Aggies Landing Airport,Alexandria,
MN06,small_airport,Pulkrabek Private Landing Field,Angus,
MN08,small_airport,Eagles Nest Aerodrome,Eagle Lake,
MN11,small_airport,Lorenz Airport,Benson,
MN12,small_airport,Robco Airport,Laporte,
MN13,small_airport,Moberg Air Base,Bemidji,
MN15,small_airport,Empire Farm Strip,Bongards,
MN17,small_airport,Jackson Field,Brainerd,
MN18,small_airport,Barrett Airport,Brainerd,
MN19,small_airport,Brandt Airport,Delano,
MN20,small_airport,Runke's Field,Cedar Mills,
MN24,small_airport,Surfside Airport,Circle Pines,
MN28,small_airport,Lux Strip,Cosmos,
MN31,small_airport,L & M Aerodrome,Litchfield,
MN32,small_airport,Nietz Airstrip,Oronoco,
MN38,small_airport,Spud Field,East Grand Forks,
MN40,small_airport,Meadowvale Airport,Elk River,
MN41,small_airport,Timmers Landing Field,Silver Lake,
MN42,small_airport,Oak Lake Air Strip,Erskine,
MN44,small_airport,Angen Field,Garfield,
MN45,small_airport,Jennrich Field,Farmington,
MN47,small_airport,Cameron's Airport,Princeton,
MN49,small_airport,Tuma Private Airport,Montgomery,
MN50,small_airport,Arthur Field,Gatzke,
MN51,small_airport,Bowers Airport,Stacy,
MN52,small_airport,Gospel Ranch Airport,Hibbing,
MN55,small_airport,Sandy Flats Airport,Hastings,
MN57,small_airport,Bush Field,Hinckley,
MN58,small_airport,Sky Meadow Airport,Hastings,
MN62,small_airport,Quast Airport,Hutchinson,
MN63,small_airport,Stocker Private Airport,Jordan,
MN66,small_airport,Ingleside Airport,Loretto,
MN67,small_airport,Sky Park Airport,Lydia,
MN69,small_airport,Maple Airport,Maple Plain,
MN74,small_airport,B & D Flyers International Airport,Minnesota Lake,
MN77,small_airport,Jerger's Field,Moorhead,
MN81,small_airport,J J and T Airport,East Grand Forks,
MN85,small_airport,Swiderski Field,Onamia,
MN86,small_airport,Sky Manor Aero Estates Airport,Park Rapids,
MN87,small_airport,Cooks Landing Airport,Ham Lake,
MN88,small_airport,Empire Valley Airport,Paynesville,
MN89,small_airport,Aerovilla Airport,Perham,
MN91,small_airport,Reynolds Field,Princeton,
MN92,small_airport,Lennartson Airport,Proctor,
MN95,small_airport,Velo Airstrip,Rothsay,
MN98,small_airport,Aero-Plain Airport,St Francis,
MN99,small_airport,Serenity Airport,Lester Prairie,
MNAL,small_airport,Alamicamba Airport,Alamicamba,
MNAM,small_airport,Altamira Airport,Altamira,
MNBC,small_airport,Boaco Airport,Boaco,
MNBL,medium_airport,Bluefields Airport,Bluefileds,BEF
MNBR,small_airport,Los Brasiles Airport,Los Brasiles,
MNBZ,small_airport,San Pedro Airport,Bonanza,BZA
MNCE,small_airport,Costa Esmeralda Airport,Tola,ECI
MNCH,small_airport,Chinandega Airport,Chinandega,
MNCI,small_airport,Corn Island,Corn Island,RNI
MNCT,small_airport,Corinto Airport,Chinandega,
MNDM,small_airport,Dos Montes Airport,Dos Montes,
MNEP,small_airport,La Esperanza Airport,La Esperanza,
MNES,small_airport,EstelÃ­ Airport,EstelÃ­,
MNFC,small_airport,Punta Huete (Panchito) Airport,Punta Huete,
MNFF,small_airport,El Bluff Airport,El Bluff,
MNHG,small_airport,Hato Grande Airport,Hato Grande,
MNJG,small_airport,Jinotega,Jinotega,
MNJU,small_airport,Juigalpa,Juigalpa,
MNKW,small_airport,Karawala Airport,Karawala,
MNLN,small_airport,Leon (Fanor Urroz) Airport,LeÃ³n,
MNLP,small_airport,Omtepe Airport,Omtepe Island,
MNMA,small_airport,Macantaca Airport,Macantaca,
MNMG,medium_airport,Augusto C. Sandino (Managua) International Airport,Managua,MGA
MNMR,small_airport,Montelimar Airport,Montelimar,
MNNG,small_airport,Nueva Guinea Airport,Nueva Guinea,NVG
MNPC,medium_airport,Puerto Cabezas Airport,Puerto Cabezas,PUZ
MNPP,small_airport,El Papalonal Airport,El Papalonal,
MNRS,small_airport,Rivas,Rivas,
MNRT,small_airport,Rosita Airport,La Rosita,RFS
MNSC,small_airport,San Carlos,San Carlos,NCR
MNSI,small_airport,Siuna,Siuna,SIU
MNWP,small_airport,Waspam Airport,Waspam,WSP
MO00,small_airport,Turkey Mountain Airport,Shell Knob,
MO01,small_airport,Cuinche Airport,Strafford,
MO02,small_airport,Morgan Airport,Rolla,
MO03,small_airport,Moders Airport,House Springs,
MO04,small_airport,Lyell Airport,Hunnewell,
MO07,small_airport,Adventures Aloft Airport,Jonesburg,
MO08,small_airport,Homan Field,Sedalia,
MO09,small_airport,Sharpe Farms Airport,Lewistown,
MO10,small_airport,Hawk Air Airport,Sturgeon,
MO11,small_airport,Barron Aviation Airport,Perry,
MO14,small_airport,Marshall Field,Fair Grove,
MO16,small_airport,Baugh Flight Park Ultralightport,Avilla,
MO17,small_airport,Garst Airport,Watson,
MO2,small_airport,Flying Bar H Ranch Airport,Springfield,
MO22,small_airport,Jta Asbell Field,Carl Junction,
MO23,small_airport,Phillips Field,California,
MO24,small_airport,Lonesome Sky Airport,Craig,
MO26,small_airport,Peterson Farm Airport,Kearney,
MO27,small_airport,Ccc Airport,Cameron,
MO29,small_airport,Inter-State Airport,Pleasant Hill,
MO30,small_airport,Harbour Airport,Gravois Mills,
MO31,small_airport,Malina Airport,Rogersville,
MO32,small_airport,Table Rock Airport,Golden,
MO33,small_airport,Barlet's Base Airport,Carthage,
MO34,small_airport,Ellingsen Field,Everton,
MO35,small_airport,Harvey Airport,Eolia,
MO36,small_airport,Riddle's Roost Airport,Foristell,
MO37,small_airport,Ridgeview Ranch Airport,Harrisonville,
MO39,small_airport,Baldwin Airport,Silex,
MO43,small_airport,Wilkins Airport,Montgomery City,
MO45,small_airport,Sky-Vu Airport,Montgomery City,
MO46,small_airport,Walker Airport,Louisana,
MO49,small_airport,Five Mile Airport,Joplin,
MO5,small_airport,Bollinger-Crass Memorial Airport,Van Buren,
MO51,small_airport,Schaback Strip,Weston,
MO52,small_airport,Skyriders Airport,Wheatland,
MO53,small_airport,Meadows Airport,Bethany,
MO54,small_airport,Dudley Airport,Dudley,
MO56,small_airport,Lost Mine Airport,Theodosia,
MO57,small_airport,Henderson Mounds E B G Airport,East Prairie,
MO58,small_airport,Waldemer Flying W Ranch Airport,Fairdealing,
MO59,small_airport,K & N Field,Moscow Mills,
MO61,small_airport,Bel-Voir Acres Airport,Golden,
MO62,small_airport,Hibbs Farm Airport,Sheridan,
MO64,small_airport,Kimberling Airport,Kimberling City,
MO65,small_airport,Misty Meadows Airport,Kirbyville,
MO66,small_airport,Linden Air Airport,Ozark,
MO67,small_airport,Hayes Field,Poplar Bluff,
MO68,small_airport,Eads Ridge Airport,Fair Grove,
MO71,small_airport,Block Air Village Airport,Holt,
MO72,small_airport,Flying 'J' Ranch Airport,Van Buren,
MO73,small_airport,Rolling Shoals Farm Airport,Williamsville,
MO74,small_airport,Cedar Creek Airport,Columbia,
MO75,small_airport,Brownsberger Airport,Montrose,
MO77,small_airport,Arnika Ranch Airport,Ava,
MO78,small_airport,Stickle Cattle Farms Airport,Belle,
MO79,small_airport,Sky Ranch Ii Airport,Belleview,
MO80,small_airport,Oak Ridge Airpark,Mountain Grove,
MO81,small_airport,Dove Airstrip,Bismarck,
MO82,small_airport,Howard Airport,Gorin,
MO83,small_airport,Widmark Airport,Green City,
MO84,small_airport,Viburnum Airport,Viburnum,
MO85,small_airport,Wells Airport,Marshfield,
MO86,small_airport,Sanctuary Airport,Bellflower,
MO87,small_airport,Powis Airport,Oak Grove,
MO88,small_airport,Feutz Airport,Hatton,
MO89,small_airport,Bar-Vik Airport,Laurie,
MO93,small_airport,Keeven Air Ranch Airport,Hawk Point,
MO94,small_airport,Starr Airport,Trimble,
MO96,small_airport,Ray Johnson Inc Airport,Centerville,
MO98,small_airport,Williams Airport,Cleveland,
MO99,small_airport,Miller Airport,Climax Springs,
MOH,small_airport,Maleo Airport,Morowali,MOH
MOS,small_airport,Moses Point Airport,Elim,
MP00,small_airport,Capt Justiniano Montenegro Airport,Pedasi,PDM
MP01,small_airport,Finca Ceiba Airport,Finca JaguÃ¡,
MP02,small_airport,Finca 45 Airport,Dos CaÃ±os,
MP03,small_airport,La Cabezona Airport,Guarumal,
MP17,small_airport,Finca 67 Airport,Changuinola,
MP18,small_airport,Penonome Airport,Penonome,
MP21,small_airport,Alvaro Berroa Airport,Nueva California,
MP22,small_airport,Ingenio Santa Rosa Airport,Ingenio Santa Rosa,
MP23,small_airport,Calzada Larga Airport,Calzada Larga,
