ident,type,name,iso_region,iata_code
04WI,small_airport,Dutch Gap Airstrip,US-WI,
04WN,small_airport,Stillwater Creek Airport,US-WA,
04XA,small_airport,Pecan Field,US-TX,
05AK,small_airport,Wasilla Creek Airpark,US-AK,
05AR,small_airport,Ozark Skies Airpark,US-AR,
05CL,small_airport,Pope Valley Airport,US-CA,
05CO,small_airport,Rancho De Aereo Airport,US-CO,
05FA,small_airport,Melanie's Airport,US-FL,
05FL,small_airport,Charlton Strip,US-FL,
05GA,small_airport,Raju Airport,US-GA,
05IA,small_airport,Spotts Field,US-IA,
05ID,small_airport,Running Creek Ranch Airport,US-ID,
05II,small_airport,Reichhart Airport,US-IN,
05IL,small_airport,Classic Landings Airport,US-IL,
05IN,small_airport,Cooper Airport,US-IN,
05IS,small_airport,Hardy Airport,US-IL,
05KS,small_airport,Darbro Field,US-KS,
05KY,small_airport,Cartersville Airport,US-KY,
05LA,small_airport,Greg's Flying Service Airport,US-LA,
05LS,small_airport,Grass Roots Airport,US-LA,
05MD,small_airport,Breezecroft Airport,US-MD,
05ME,small_airport,Drisko Airport,US-ME,
05MT,small_airport,Jones Landing,US-MT,
05NE,small_airport,Mc Kay Airport,US-NE,
05NV,small_airport,Baker Ranches Airport,US-NV,
05OI,small_airport,Dorlon Airpark,US-OH,
05OR,small_airport,Peacock Ranch Airport,US-OR,
05PS,small_airport,Mills Brothers Airport,US-PA,
05S,small_airport,Vernonia Airfield,US-OR,
05TA,small_airport,Brandes Air Field,US-TX,
05TE,small_airport,Hilde-Griff Field,US-TX,
05TS,small_airport,Dew Drop Airport,US-TX,
05TX,small_airport,Circle 'A' Ranch Airport,US-TX,
05UT,small_airport,Oljato Airport,US-UT,
05V,small_airport,Blanca Airport,US-CO,
05VA,small_airport,Providence Airport,US-VA,
05WI,small_airport,Ames Private Airport,US-WI,
05WN,small_airport,Flat Creek Field,US-WA,
05XS,small_airport,Johnson Memorial Airport,US-AR,
05Y,small_airport,Henning Municipal Airport,US-MN,
06AK,small_airport,June Lake Airpark,US-AK,
06AR,small_airport,Bondair Airport,US-AR,
06CO,small_airport,Jecan Airport,US-CO,
06FA,small_airport,William P Gwinn Airport,US-FL,
06FD,small_airport,Grass Roots Airpark,US-FL,
06IA,small_airport,Rich Field,US-IA,
06ID,small_airport,Larkin Airport,US-ID,
06IL,small_airport,Humm Airport,US-IL,
06IS,small_airport,Sinele Strip,US-IL,
06MN,small_airport,Pike Field Airport,US-MN,
06MO,small_airport,Noahs Ark Airport,US-MO,
06MT,small_airport,Torgerson Airport,US-MT,
06N,small_airport,Randall Airport,US-NY,
06NC,small_airport,Tailwinds Airport,US-NC,
06ND,small_airport,Fitterer's Strip,US-ND,
06NH,small_airport,Cole Farm Airport,US-NH,
